STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,6390,26.67,13.33,33.33,0,26.67,0,150
36,NY,10001,25.76,17.22,13.43,9.71,17.77,16.12,14520
36,NY,10002,50.21,19.46,11.4,6.42,8.58,3.91,42180
36,NY,10003,17.55,13.5,13.82,11.24,21.98,21.91,28660
36,NY,10004,14.52,10.08,11.69,8.47,20.97,34.27,2480
36,NY,10005,11.62,12.63,14.48,11.11,22.9,27.27,5940
36,NY,10006,13.08,12.24,13.92,10.55,26.16,24.05,2370
36,NY,10007,13.66,9.3,8.14,6.1,17.15,45.64,3440
36,NY,10009,29.5,20.55,16.91,11.05,15.52,6.48,32410
36,NY,10010,14.75,13.13,14.69,11.41,23.1,22.93,17360
36,NY,10011,17.11,12.3,12.2,10.46,22.96,24.97,29920
36,NY,10012,19.17,13.95,13.87,10.75,21.89,20.37,12470
36,NY,10013,28.51,13.79,10.91,7.76,13.59,25.44,14940
36,NY,10014,14.84,11.58,12.49,10.93,24.87,25.29,18660
36,NY,10016,16.19,14.56,16.19,11.96,21.7,19.41,31940
36,NY,10017,15.36,11.65,12.57,10.55,22.36,27.51,11850
36,NY,10018,22.38,15.96,12.83,9.08,18.78,20.97,6390
36,NY,10019,19.59,14.54,14.18,10.12,21.51,20.07,25110
36,NY,10021,14.7,11.05,13.39,10.71,20.78,29.37,23530
36,NY,10022,13.96,10.74,11.69,10.13,22.58,30.9,19840
36,NY,10023,17.35,11.51,10.92,9.66,22.34,28.24,34070
36,NY,10024,18.78,11.81,11.74,9.4,20.09,28.18,30410
36,NY,10025,27.38,17.12,13.57,9.19,16.36,16.38,45610
36,NY,10026,38.25,23.67,14.14,7.82,10.42,5.71,18040
36,NY,10027,42.27,24.25,12.62,6.73,8.94,5.19,27180
36,NY,10028,15.62,11.39,14.86,11.75,21.12,25.26,25100
36,NY,10029,47.32,26.7,13.18,5.36,5.08,2.37,35060
36,NY,10030,47.62,26.56,13.28,5.94,5.14,1.47,13630
36,NY,10031,47.17,27.06,13.67,5.66,5.15,1.3,29340
36,NY,10032,49.11,26.66,13.04,5.19,4.85,1.16,29300
36,NY,10033,47.53,24.43,12.63,5.87,7.2,2.34,26930
36,NY,10034,46.18,24.23,14.05,6.9,7.1,1.54,20140
36,NY,10035,46.53,25.71,12.89,6.01,6.74,2.12,15130
36,NY,10036,23.93,16.88,13.78,10.26,20.3,14.85,18720
36,NY,10037,36.75,26.12,17.57,9.5,8.74,1.33,10530
36,NY,10038,28.45,15.96,13.15,9.26,18.11,15.05,12090
36,NY,10039,47.03,27.09,13.62,5.79,5.19,1.28,13290
36,NY,10040,45.96,25.16,13.94,6.53,6.62,1.78,21300
36,NY,10044,27,17.37,15.02,10.33,19.25,11.03,4260
36,NY,10065,14.89,12.99,13.12,10.2,20.53,28.26,15780
36,NY,10069,12.8,9,8.3,6.57,20.07,43.25,2890
36,NY,10075,15.34,11.36,13.92,11.08,22.09,26.21,14080
36,NY,10119,17.24,10.34,10.34,0,17.24,44.83,290
36,NY,10128,17.88,13.05,14.93,10.93,19.73,23.49,32950
36,NY,10162,13.33,6.67,8,8,25.33,38.67,750
36,NY,10165,0,40,0,0,20,40,100
36,NY,10170,18.52,11.11,14.81,0,18.52,37.04,270
36,NY,10280,11.43,8.57,10.95,9.52,27.14,32.38,4200
36,NY,10282,9.52,6.06,5.63,5.63,15.58,57.58,2310
36,NY,10301,35.9,21.63,15.04,9.29,13.44,4.7,18080
36,NY,10302,39.85,23.02,14.36,9.03,11.88,1.86,8080
36,NY,10303,43.39,24.16,13.97,8.38,9.37,0.74,12170
36,NY,10304,41.78,22.41,12.17,7.71,11.41,4.51,19720
36,NY,10305,34.72,21.5,14.72,10.57,15.44,3.06,19300
36,NY,10306,30.74,19.11,15.01,11.18,19.08,4.88,26840
36,NY,10307,27.54,16.77,13.08,10.92,22.62,9.08,6500
36,NY,10308,27.75,17.62,14.46,12.48,22.47,5.21,13620
36,NY,10309,27.33,17,13.87,11.27,23.13,7.4,15000
36,NY,10310,38.13,20.33,13,9.34,15.36,3.84,11460
36,NY,10312,26.89,17.89,14.51,11.91,22.75,6.06,29230
36,NY,10314,30.27,20,14.83,11.27,19.12,4.52,40740
36,NY,10451,52.51,28.21,11.72,4.38,2.96,0.21,23290
36,NY,10452,58.98,26.88,9.92,2.65,1.52,0.06,36200
36,NY,10453,61.91,25.77,8.4,2.39,1.44,0.08,37600
36,NY,10454,61.49,26.33,8.33,2.21,1.52,0.13,15840
36,NY,10455,57.93,27.56,10.01,2.81,1.69,0,17780
36,NY,10456,60.71,27.16,8.44,2.38,1.31,0,40390
36,NY,10457,61.12,25.92,8.65,2.75,1.44,0.12,32720
36,NY,10458,57.75,26.54,10.11,3.26,2.21,0.12,34320
36,NY,10459,57.71,27.87,9.35,3.1,1.97,0,21280
36,NY,10460,58.12,27.47,9.16,3.18,1.95,0.12,25120
36,NY,10461,35.62,25.78,17.27,9.46,10.5,1.37,24090
36,NY,10462,40.7,27.61,17.59,7.87,5.82,0.4,39510
36,NY,10463,36.51,22.45,15.09,9.07,12.64,4.24,33940
36,NY,10464,25.81,18.43,16.59,12.44,19.35,7.37,2170
36,NY,10465,31.52,22.39,16.9,11.07,15.48,2.64,19700
36,NY,10466,45.02,28.68,13.47,6.57,5.89,0.37,32740
36,NY,10467,49.6,28.54,13.06,4.93,3.65,0.22,44640
36,NY,10468,56.7,26.28,10.63,3.79,2.44,0.17,35660
36,NY,10469,41.02,26.97,15.06,7.87,8.17,0.92,32670
36,NY,10470,37.08,25.33,16.06,8.75,10.97,1.83,7660
36,NY,10471,23.44,16.39,16.29,12.21,20.85,10.82,10070
36,NY,10472,56.06,27.01,10.42,3.84,2.49,0.17,28880
36,NY,10473,45.61,27.66,14.12,6.56,5.63,0.43,27910
36,NY,10474,58.22,27.92,9.7,2.77,1.39,0,5050
36,NY,10475,32.43,28.52,20.54,10.66,7.46,0.39,22790
36,NY,10501,27.14,12.86,10,8.57,20,21.43,700
36,NY,10502,22.89,10.21,8.45,8.1,22.18,28.17,2840
36,NY,10503,0,33.33,0,16.67,25,25,120
36,NY,10504,20.38,8.07,6.79,5.52,15.29,43.95,4710
36,NY,10505,31.34,16.42,10.45,5.97,17.91,17.91,670
36,NY,10506,25.18,8.16,7.09,5.32,16.31,37.94,2820
36,NY,10507,30.45,20.3,12.03,7.89,15.79,13.53,2660
36,NY,10509,29.32,17.77,12.95,10.24,20.98,8.73,9960
36,NY,10510,21.64,10.29,7.98,6.51,20.8,32.77,4760
36,NY,10511,28.45,18.1,13.79,11.21,21.55,6.9,1160
36,NY,10512,26.78,17.83,14.39,11.27,22.62,7.11,12510
36,NY,10514,22.2,7.28,5.78,4.48,14.74,45.52,5360
36,NY,10516,25.18,15.69,12.41,10.58,23.72,12.41,2740
36,NY,10517,25,18.18,13.64,13.64,20.45,9.09,440
36,NY,10518,27.03,12.16,8.11,6.76,21.62,24.32,740
36,NY,10519,25,21.43,10.71,10.71,21.43,10.71,280
36,NY,10520,24.03,13.8,12.25,9.92,21.86,18.14,6450
36,NY,10522,21.95,14.12,13.55,10.11,20.8,19.47,5240
36,NY,10523,30.37,21.28,15.29,10.54,17.36,5.17,4840
36,NY,10524,24.77,14.02,12.15,9.81,23.83,15.42,2140
36,NY,10526,24.24,13.13,11.11,8.08,22.22,21.21,990
36,NY,10527,20.45,11.36,9.09,6.82,27.27,25,440
36,NY,10528,26.1,15.42,12.88,9.15,16.78,19.66,5900
36,NY,10530,19.75,13.4,14.78,12.15,25.55,14.36,7240
36,NY,10532,22.69,15.38,13.46,9.23,26.92,12.31,2600
36,NY,10533,21.07,10.67,10.13,8.8,20,29.33,3750
36,NY,10535,30.95,23.81,16.67,9.52,14.29,4.76,420
36,NY,10536,25.9,10.67,8.19,6.29,19.24,29.71,5250
36,NY,10537,28.8,22.4,15.2,12.8,17.6,3.2,1250
36,NY,10538,20.62,9.44,8.94,6.58,16.27,38.14,8050
36,NY,10541,27.44,15.93,12.54,10.25,25,8.83,12680
36,NY,10543,28.06,16.14,12.23,8.63,17.88,17.06,9730
36,NY,10545,78.95,21.05,0,0,0,0,190
36,NY,10546,22.22,9.72,8.33,9.72,22.22,27.78,720
36,NY,10547,28.53,17.93,13.86,9.78,22.55,7.34,3680
36,NY,10548,26.42,16.98,14.47,10.69,23.9,7.55,1590
36,NY,10549,31.99,17.34,10.99,7.08,14.77,17.83,8190
36,NY,10550,44.96,29.12,13.64,6.3,5.61,0.37,19060
36,NY,10552,27.59,20.9,17.51,11.18,16.77,6.05,10910
36,NY,10553,35.76,27.8,15.25,8.81,10.85,1.53,5900
36,NY,10560,23.83,14.02,10.75,8.88,21.03,21.5,2140
36,NY,10562,30.7,20.4,13.62,9.54,17.33,8.41,15930
36,NY,10566,36.6,24.02,14.3,8.91,13.32,2.86,12240
36,NY,10567,24.97,14.68,11.42,9.89,25.18,13.86,9810
36,NY,10570,24.67,12.42,9.77,7.62,20.2,25.33,6040
36,NY,10573,35.79,22.82,12.71,7.04,11.65,10.01,18890
36,NY,10576,22.89,9.24,8.03,6.43,20.48,32.93,2490
36,NY,10577,27.1,9.03,8.39,5.16,11.61,38.71,1550
36,NY,10578,26.19,16.67,11.9,7.14,30.95,7.14,420
36,NY,10579,23.09,15.24,13.16,11.78,25.64,11.09,4330
36,NY,10580,24.22,9.24,7.87,5.87,14.73,38.08,8010
36,NY,10583,21.41,9.13,8.38,6.73,17.51,36.84,18730
36,NY,10588,25.93,15.56,15.56,10.37,23.7,8.89,1350
36,NY,10589,19.65,12.66,13.97,12.66,25.98,15.07,4580
36,NY,10590,23.13,11.56,10,8.44,23.13,23.75,3200
36,NY,10591,29.94,20.27,11.84,8.76,16.01,13.18,11990
36,NY,10594,25.1,14.51,11.76,9.8,23.53,15.29,2550
36,NY,10595,23.75,13.13,13.13,9.38,24.06,16.56,3200
36,NY,10596,30.23,22.09,17.44,11.63,16.28,2.33,860
36,NY,10597,24,12,6,4,14,40,500
36,NY,10598,24.59,13.46,11.54,9.07,26.44,14.9,14560
36,NY,10601,28.93,19.83,13.88,9.42,16.36,11.57,6050
36,NY,10603,28.18,20.16,15.85,10.73,17.75,7.32,9970
36,NY,10604,30.36,19.64,13.21,9.11,15.89,11.79,5600
36,NY,10605,24.26,14.65,12.08,8.91,20.89,19.21,10100
36,NY,10606,36.59,23.19,12.44,7.49,12.44,7.85,8280
36,NY,10607,27.3,18.36,13.4,9.43,19.85,11.66,4030
36,NY,10701,42.49,25.26,13.72,7.54,9.17,1.81,28780
36,NY,10703,36.18,24.44,14.66,9.49,13.16,2.07,10640
36,NY,10704,28.5,22.56,18.02,11.43,16.37,3.12,16980
36,NY,10705,43.49,25.72,13.34,6.92,8.32,2.22,18510
36,NY,10706,21.51,12.42,10.64,9.31,21.29,24.83,4510
36,NY,10707,24.62,14.42,13.27,10,22.12,15.58,5200
36,NY,10708,20.67,12.63,13.6,10.69,20.94,21.47,11320
36,NY,10709,24.33,13.4,12.78,9.69,21.86,17.94,4850
36,NY,10710,25.37,19.56,15.88,12.19,21.19,5.81,14110
36,NY,10801,37.16,21.83,13.81,8.83,13.16,5.2,18460
36,NY,10803,22.17,12.83,10.17,8,16.83,30,6000
36,NY,10804,21.05,9.18,9.46,6.92,20.76,32.63,7080
36,NY,10805,30.91,22.23,17.35,11.28,14.43,3.8,9220
36,NY,10901,28.61,17.24,12.51,9.45,20.3,11.9,11430
36,NY,10913,26.15,13.46,10.77,9.62,23.46,16.54,2600
36,NY,10914,22.86,20,14.29,8.57,25.71,8.57,350
36,NY,10915,36.84,26.32,21.05,0,15.79,0,190
36,NY,10916,27.4,15.07,12.79,10.05,26.03,8.68,2190
36,NY,10917,31.68,15.84,13.86,8.91,20.79,8.91,1010
36,NY,10918,28.07,17.37,13.86,11.75,22.11,6.84,5700
36,NY,10919,29.51,22.95,11.48,11.48,19.67,4.92,610
36,NY,10920,26.89,16.22,12.22,10.89,24.67,9.11,4500
36,NY,10921,28.17,18.31,15.02,10.8,22.07,5.63,2130
36,NY,10922,25.61,17.07,15.85,14.63,21.95,4.88,820
36,NY,10923,33.06,21.56,15.2,9.86,16.43,3.9,4870
36,NY,10924,28.48,16.83,13.27,9.87,22.65,8.9,6180
36,NY,10925,29.63,19.75,15.23,12.35,19.34,3.7,2430
36,NY,10926,28.95,20.53,16.32,11.58,17.89,4.74,1900
36,NY,10927,48.61,26.51,10.8,5.56,6.55,1.96,6110
36,NY,10928,32.89,26.22,16,9.33,12.89,2.67,2250
36,NY,10930,28.31,14.85,12.06,10.21,25.52,9.05,4310
36,NY,10931,35.29,23.53,13.73,11.76,15.69,0,510
36,NY,10932,31.58,21.05,15.79,10.53,21.05,0,190
36,NY,10933,31.82,18.18,9.09,13.64,27.27,0,220
36,NY,10940,36.73,24.93,14.24,9.29,12.88,1.94,24230
36,NY,10941,31.19,24.89,15.16,10.59,15.31,2.86,6990
36,NY,10950,37.74,18.18,10.75,8.46,18.47,6.4,17490
36,NY,10952,43.77,19.51,9.26,6.48,12.46,8.52,12200
36,NY,10953,25,15,25,0,25,10,200
36,NY,10954,28.59,18.17,13.49,10.66,21.49,7.59,12380
36,NY,10956,25.74,13.65,10.96,8.77,25.05,15.84,15970
36,NY,10958,30.43,18.01,14.29,11.18,21.12,4.97,1610
36,NY,10960,29.84,18.99,13.18,9.43,18.22,10.34,7740
36,NY,10962,25.59,14.57,12.6,9.84,23.23,14.17,2540
36,NY,10963,30.83,20,14.17,12.5,20,2.5,1200
36,NY,10964,22.67,14.67,12,8,18.67,24,750
36,NY,10965,24.97,15.08,13.05,9.89,25.6,11.41,7890
36,NY,10968,19.53,14.84,14.84,11.72,23.44,15.63,1280
36,NY,10969,30.77,24.62,12.31,10.77,15.38,6.15,650
36,NY,10970,28.74,20.31,14.56,10.34,19.16,6.9,5220
36,NY,10973,31.58,17.54,12.28,11.4,21.93,5.26,1140
36,NY,10974,29.49,18.59,13.46,10.26,20.51,7.69,1560
36,NY,10975,29.41,23.53,23.53,11.76,11.76,0,170
36,NY,10976,37.65,20,11.76,8.24,14.12,8.24,850
36,NY,10977,45.54,25.2,10.56,6.25,9.33,3.12,24330
36,NY,10979,40,0,30,0,30,0,100
36,NY,10980,28.43,18.25,13.86,9.9,21.64,7.92,7070
36,NY,10983,23.83,14.43,12.08,9.73,27.18,12.75,2980
36,NY,10984,23.7,17.78,14.07,11.11,25.19,8.15,1350
36,NY,10985,26.67,26.67,13.33,13.33,20,0,150
36,NY,10986,27.66,18.09,10.64,11.7,21.28,10.64,940
36,NY,10987,31.75,11.64,11.11,8.47,21.16,15.87,1890
36,NY,10988,33.33,30.56,13.89,11.11,11.11,0,360
36,NY,10989,23.81,16.67,14.09,12.1,24.6,8.73,5040
36,NY,10990,29.11,16.45,12.05,10.62,22.37,9.4,9790
36,NY,10992,28.96,17.76,12.68,10.99,23.04,6.55,4730
36,NY,10993,38.74,26.88,14.23,8.7,10.67,0.79,2530
36,NY,10994,25.32,13.7,12.14,9.82,23.26,15.76,3870
36,NY,10996,29.36,11.01,15.6,16.51,22.94,4.59,1090
36,NY,10998,27.1,17.42,14.19,12.26,23.87,5.16,1550
36,NY,11001,27.76,17.16,12.98,10.53,22.28,9.3,13870
36,NY,11003,34.4,26.02,15.39,10.05,12.43,1.71,23980
36,NY,11004,29.39,19.44,15.79,12.57,19.44,3.36,6840
36,NY,11005,14.48,10.34,13.79,13.79,30.34,17.24,1450
36,NY,11010,27.8,18.17,14.85,11.53,22.43,5.21,12660
36,NY,11020,28.85,14.75,9.18,6.56,17.7,22.95,3050
36,NY,11021,22.93,13.89,12.81,10.01,20.24,20.13,9290
36,NY,11023,24.87,13.57,10.55,8.04,19.35,23.62,3980
36,NY,11024,30.38,13.61,9.49,6.65,14.87,25,3160
36,NY,11030,21.89,8.96,8.61,6.52,15.95,38.07,8590
36,NY,11040,25.94,16.09,12.95,10.23,24.11,10.69,21320
36,NY,11042,21.74,17.39,10.87,8.7,19.57,21.74,460
36,NY,11050,27.41,13.77,10.38,7.85,17.96,22.62,15030
36,NY,11096,48.78,24.39,11.95,7.07,6.83,0.98,4100
36,NY,11101,30.92,19.37,14.79,9.77,16.84,8.31,18530
36,NY,11102,35.43,23.38,17.45,9.87,11.43,2.44,19250
36,NY,11103,34.04,24.39,19.49,9.79,10.42,1.87,20830
36,NY,11104,34.61,22.9,17.27,10.39,12.11,2.71,15110
36,NY,11105,32.54,23.03,18.35,10.32,12.51,3.25,19670
36,NY,11106,34.96,23.26,17.96,10.05,11.47,2.29,21880
36,NY,11109,10.11,8.43,11.24,11.52,31.18,27.53,3560
36,NY,11201,18.45,12.89,13.48,11.23,22.21,21.74,31970
36,NY,11203,42.66,29.4,14.62,7.12,5.67,0.53,37760
36,NY,11204,50.03,22.86,11.2,6.08,7.32,2.5,33200
36,NY,11205,37.29,22.64,14.38,8.52,11.72,5.43,18770
36,NY,11206,47.57,27.4,13.51,5.86,4.74,0.9,36490
36,NY,11207,51.62,28.19,11.49,4.96,3.47,0.28,43530
36,NY,11208,53.83,27.97,10.95,4.14,2.91,0.2,44010
36,NY,11209,32.1,19.23,16.3,11.2,15.48,5.69,34110
36,NY,11210,39.29,25.76,14.35,7.57,8.99,4.04,29470
36,NY,11211,32.5,21.71,16.09,9.95,13.54,6.2,30950
36,NY,11212,53.87,28.02,11.1,4.22,2.68,0.1,38370
36,NY,11213,45.9,28.91,13.69,5.73,4.71,1.06,29300
36,NY,11214,48.21,23.4,12.07,7.12,7.66,1.54,40860
36,NY,11215,19.19,16.37,15.88,11.27,20.74,16.55,32930
36,NY,11216,35.87,28.22,17.92,7.96,7.79,2.24,29020
36,NY,11217,22.31,17.84,15.91,11.02,18.88,14.04,19230
36,NY,11218,40.34,22.25,13.35,8.21,11.68,4.17,33120
36,NY,11219,60.13,21.11,7.87,4.16,4.75,1.98,33910
36,NY,11220,67.01,19.02,6.79,3.1,3.36,0.72,53900
36,NY,11221,44.23,29.91,14.27,5.79,4.81,0.99,39520
36,NY,11222,26.14,21.98,19.72,11.83,15.24,5.1,22570
36,NY,11223,47.37,22.76,11.42,6.78,8.12,3.54,32740
36,NY,11224,50,24.16,11.61,6.32,6.67,1.24,20240
36,NY,11225,38.46,28.76,16.57,7.71,6.76,1.73,30600
36,NY,11226,44.86,29.56,13.89,5.92,4.8,0.98,52070
36,NY,11228,41.91,20.35,12.33,8.57,12.43,4.41,19710
36,NY,11229,40.85,21.84,13.12,8.56,11.88,3.74,36350
36,NY,11230,42.83,23.47,12.68,7.16,9.41,4.45,35490
36,NY,11231,25.38,16.92,13.51,9.28,19.1,15.8,17020
36,NY,11232,48.91,24.34,12.99,6.07,6.14,1.56,12860
36,NY,11233,45.06,29.11,13.79,6,5.07,0.97,31980
36,NY,11234,33.79,22.96,15.18,10.24,14.1,3.74,42560
36,NY,11235,43.39,21.73,12.66,7.98,10.75,3.49,38700
36,NY,11236,40.17,28.3,15.11,8.14,7.53,0.75,47920
36,NY,11237,44.46,31.14,14.12,5.27,4.34,0.67,23730
36,NY,11238,25.05,21.49,18.58,10.83,15.9,8.14,30940
36,NY,11239,39.94,30.65,18.31,6.8,4.3,0,7210
36,NY,11354,58.94,18.64,9.27,5.52,6.15,1.48,30420
36,NY,11355,68.58,16.62,6.91,3.53,3.63,0.73,50960
36,NY,11356,47.33,23.59,11.87,7.27,8.4,1.53,12380
36,NY,11357,31.03,17.93,14.56,10.83,18.79,6.85,19850
36,NY,11358,42.31,20.18,12.22,8.11,13.22,3.95,18980
36,NY,11360,26.79,16.24,13.94,12.05,22.21,8.76,10040
36,NY,11361,35.53,19.89,13.85,9.91,15.79,5.03,13930
36,NY,11362,28.6,18.08,13.96,12.13,20.14,7.09,8740
36,NY,11363,28.28,16.33,13.41,10.2,18.37,13.41,3430
36,NY,11364,34.04,19.27,14.49,10.84,16.57,4.78,17800
36,NY,11365,40.48,21.52,13.27,8.99,12.9,2.84,21470
36,NY,11366,36.55,19.61,12.93,8.77,16.05,6.09,6730
36,NY,11367,42.15,21.74,13.63,8.32,10.87,3.29,18860
36,NY,11368,57.43,25.65,10.22,3.83,2.68,0.19,48530
36,NY,11369,49.19,25.68,12.92,5.96,5.63,0.61,17950
36,NY,11370,45.2,23.13,13.68,7.48,8.99,1.51,13230
36,NY,11372,45.43,23.64,13.74,7.05,8.22,1.91,35020
36,NY,11373,53.82,24.14,11.62,5.13,4.64,0.65,50870
36,NY,11374,34.76,21.14,16.42,10.79,13.67,3.23,22900
36,NY,11375,25.37,16.72,15.82,12.26,20.64,9.19,35470
36,NY,11377,46.12,24.51,13.78,7.08,7.36,1.14,45490
36,NY,11378,38.15,22.79,14.57,9.69,12.3,2.49,17640
36,NY,11379,31.27,20.23,16.11,10.99,17.3,4.11,17750
36,NY,11385,40.25,26.15,15.62,7.95,8.85,1.17,48790
36,NY,11411,33.64,26.49,16.82,10.59,11.25,1.21,10760
36,NY,11412,39.32,28.53,15.4,8.51,7.68,0.57,19280
36,NY,11413,36.48,26.53,16.49,9.49,10,1.01,21710
36,NY,11414,28.38,20.72,17.12,12.24,17.64,3.9,13320
36,NY,11415,30.4,21.1,18.51,11.69,14.89,3.41,9670
36,NY,11416,49.31,27.49,12.81,5.52,4.54,0.32,12330
36,NY,11417,42.58,26.14,14.17,7.75,8.36,1,14960
36,NY,11418,46.02,25.52,13.21,6.66,7.28,1.3,17710
36,NY,11419,50.68,27.04,11.97,5.43,4.46,0.42,23560
36,NY,11420,43.48,27.45,14.07,7.34,6.99,0.65,23020
